"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"ORIGIN","Origin Airport Code",
"ORIGIN_COUNTRY","Origin Airport, Country",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST","Destination Airport Code",
"DEST_COUNTRY","Destination Airport, Country",
"UNIQUE_CARRIER","Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.",
"UNIQUE_CARRIER_NAME","Unique Carrier Name. When the same name has been used by multiple carriers, a numeric suffix is used for earlier users, for example, Air Caribbean, Air Caribbean (1).",
"PASSENGERS","On-Flight Market Passengers Enplaned",
